Category,Action,Android_Specific,Android All,iOS_specific,Updated  Sprint
verification_mobile,,,0,,
,to_mobile_country,,to_mobile_country,,
,input_mobile,,input_mobile,,
,to_terms,,to_terms,,
,to_verification_code,,to_verification_code,,
,tab_mobile_error,,tab_mobile_error,,
,tab_signup,,tab_signup,,
,tab_mobile_cancel,,tab_mobile_cancel,,
verification_mobile_country,,,0,,
,select_country,,select_country,,
,cancel_select_country,,cancel_select_country,,
verification_code,,,0,,
,input_code,,input_code,,
,tab_deletecode,,tab_deletecode,,
,tab_retry,,tab_retry,,
,to_campaign_list,,to_campaign_list,,
,tab_code_error,,tab_code_error,,
page_error,,,0,,
,tab_retry,,tab_retry,,
,to_campaign_tab,,to_campaign_tab,,
,to_maps_tab,,to_maps_tab,,
,to_profile_tab,,to_profile_tab,,
campaignlist_nomake,,,0,,
,tab_startmaking,,tab_startmaking,,
,to_campaign_tab,,to_campaign_tab,,
,to_maps_tab,,to_maps_tab,,
,to_myprofile_tab,,to_myprofile_tab,,
campaignlist,,,0,,
,to_right,,to_right,,
,to_left,,to_left,,
,to_campaign,,to_campaign,,
,to_campaign_tab,,to_campaign_tab,,
,to_maps_tab,,to_maps_tab,,
,to_profile_tab,,to_profile_tab,,
campaignlist_campaign_transitioned,,,0,,
,to_campaignlist,,to_campaignlist,,
,tab_checkitout,,tab_checkitout,,
campaignlist_campaign_default,,,0,,
,to_campaignlist,,to_campaignlist,,
,to_leaderboard,,to_leaderboard,,
campaign_leaderboard_top10,,,0,,
,to_campaign,,to_campaign,,
,to_userprofile,,to_userprofile,,
campaign_leaderboard_notop10,,,0,,
,to_campaign,,to_campaign,,
,to_otherprofile,,to_otherprofile,,
myprofile,,,0,,
,to_settings,,to_settings,,
,,tab_seemore,0,,
,,to_myprofile_editprofile,0,,
,to_campaign_tab,,to_campaign_tab,,
,to_maps_tab,,to_maps_tab,,
,to_profile_tab,,to_profile_tab,,
myprofile_settings,,,0,,
,toggle_notification_on,,toggle_notification_on,,
,toggle_notification_off,,toggle_notification_off,,
,to_help_web,,to_help_web,,
,to_copyright_web,,to_copyright_web,,
,to_privacy_web,,to_privacy_web,,
,to_terms_web,,to_terms_web,,
,to_opensource,,to_opensource,,
,tab_clearcache,,tab_clearcache,,
,tab_logout,,tab_logout,,
myprofile_editprofile,,,0,,
,tab_thumbnail,,tab_thumbnail,,
,to_changephoto,,to_changephoto,,
,to_takephoto,,to_takephoto,,
,to_username,,to_username,,
,to_status,,to_status,,
,to_city,,to_city,,
,to_artists,,to_artists,,
,to_songs,,to_songs,,
,auth_denied_storage,,auth_denied_storage,,
,auth_deinged_photo,,auth_deinged_photo,,
myprofile_editprofile_username,,,0,,
,input_username,,input_username,,
,to_save_username,,to_save_username,,
,,,0,tab_cancel_btn,
,,,0,to_cancel_username,
,,,0,tab_stay_username,
,tab_hide_error,,tab_hide_error,,
myprofile_editprofile_gallery,,,0,,
,,tab_image,0,,
,,to_cancel,0,,
myprofile_editprofile_status,,,,,
,input_status,,,,
,to_save_status,,,,
,,,,tab_cancel_btn,
,,,,to_cancel_status,
,,,,tab_stay_status,
,tab_hide_error,,,,
myprofile_editprofile_city,,,,,
,input_status,,,,
,to_save_status,,,,
,,,,tab_cancel_btn,
,,,,to_cancel_status,
,,,,tab_stay_status,
,tab_hide_error,,,,
myprofile_editprofile_myartists,,,,,
,to_addartist,,,,
,to_save_artist,,,,
,tab_cancel,,,,
editprofile_myartists_addartist,,,,,
,input_artist,,,,
,tab_select_artist,,,,
,to_cancel_addartist,,,,
myprofile_editprofile_mysongs,,,,,
,to_addsong,,,,
,to_save_song,,,,
,tab_cancel,,,,
editprofile_myartists_addsong,,,,,
,input_song,,,,
,tab_select_song,,,,
,to_cancel_addsong,,,,