Category,Android,iOS,All Action
verification_mobile,,,
,to_mobile_country,to_mobile_country,to_mobile_country
,input_mobile,input_mobile,input_mobile
,to_terms,to_terms,to_terms
,to_verification_code,to_verification_code,to_verification_code
,tab_mobile_error,tab_mobile_error,tab_mobile_error
,tab_signup,tab_signup,tab_signup
,tab_mobile_cancel,tab_mobile_cancel,tab_mobile_cancel
verification_mobile_country,,,
,select_country,select_country,select_country
,cancel_select_country,cancel_select_country,cancel_select_country
verification_code,,,
,input_code,input_code,input_code
,tab_deletecode,tab_deletecode,tab_deletecode
,tab_retry,tab_retry,tab_retry
,to_campaign_list,to_campaignlist,to_campaign_list
,tab_code_error,tab_code_error,tab_code_error
page_error,,,
,tab_retry,tab_retry,tab_retry
,to_campaign_tab,to_campaign_tab,to_campaign_tab
,to_maps_tab,to_maps_tab,to_maps_tab
,to_profile_tab,to_profile_tab,to_profile_tab
campaignlist_nomake,,,
,tab_startmaking,tab_startmaking,tab_startmaking
,to_campaign_tab,to_campaign_tab,to_campaign_tab
,to_maps_tab,to_maps_tab,to_maps_tab
,to_myprofile_tab,to_myprofile_tab,to_myprofile_tab
campaignlist,,,
,to_right,to_right,to_right
,to_left,to_left,to_left
,to_campaign,to_campaign,to_campaign
,to_campaign_tab,to_campaign_tab,to_campaign_tab
,to_maps_tab,to_maps_tab,to_maps_tab
,to_profile_tab,to_profile_tab,to_profile_tab
campaignlist_campaign_transitioned,,,
,to_campaignlist,to_campaignlist,to_campaignlist
,tab_checkitout,tab_checkitout,tab_checkitout
campaignlist_campaign_default,,,
,to_campaignlist,to_campaignlist,to_campaignlist
,to_leaderboard,to_leaderboard,to_leaderboard
campaign_leaderboard_top10,,,
,to_campaign,to_campaign,to_campaign
,to_userprofile,to_userprofile,to_userprofile
campaign_leaderboard_notop10,,,
,to_campaign,to_campaign,to_campaign
,to_otherprofile,to_otherprofile,to_otherprofile
myprofile,,,
,to_settings,to_settings,to_settings
,,to_campaign_tab,
,,to_maps_tab,
,to_campaign_tab,to_profile_tab,to_campaign_tab
,to_maps_tab,,to_maps_tab
,to_profile_tab,toggle_notification_on,to_profile_tab
,TBD,toggle_notification_off,
,,to_help_web,
,tab_thumbnail,to_copyright_web,
,to_changephoto,to_privacy_web,
,to_takephoto,to_terms_web,
myprofile_settings,to_username,to_opensource,TBD
myprofile_editprofile,to_status,tab_clearcache,
,to_city,tab_logout,tab_thumbnail
,to_artists,,to_changephoto
,to_songs,tab_thumbnail,to_takephoto
,auth_denied_storage,to_changephoto,to_username
,auth_deinged_photo,to_takephoto,to_status
,,to_username,to_city
,input_username,to_status,to_artists
,to_save_username,to_city,to_songs
,,to_artists,auth_denied_storage
,,to_songs,auth_deinged_photo
myprofile_editprofile_username,,auth_denied_storage,
,tab_hide_error,auth_deinged_photo,input_username
,,,to_save_username
,,input_username,
,,to_save_username,
,,tab_cancel_btn,
,input_status,to_cancel_username,tab_hide_error
myprofile_editprofile_gallery,to_save_status,tab_stay_username,
,,tab_hide_error,
,,,
myprofile_editprofile_status,,,
,tab_hide_error,input_status,input_status
,,to_save_status,to_save_status
,input_status,tab_cancel_btn,
,to_save_status,to_cancel_status,
,,tab_stay_status,
,,tab_hide_error,tab_hide_error
myprofile_editprofile_city,,,
,tab_hide_error,input_status,input_status
,,to_save_status,to_save_status
,to_addartist,tab_cancel_btn,
,to_save_artist,to_cancel_status,
,tab_cancel,tab_stay_status,
,,tab_hide_error,tab_hide_error
myprofile_editprofile_myartists,input_artist,,
,tab_select_artist,to_addartist,to_addartist
,to_cancel_addartist,to_save_artist,to_save_artist
,,tab_cancel,tab_cancel
editprofile_myartists_addartist,to_addsong,,
,to_save_song,input_artist,input_artist
,tab_cancel,tab_select_artist,tab_select_artist
,,to_cancel_addartist,to_cancel_addartist
myprofile_editprofile_mysongs,input_song,,
,tab_select_song,to_addsong,to_addsong
,to_cancel_addsong,to_save_song,to_save_song
,,tab_cancel,tab_cancel
editprofile_myartists_addsong,,,
,,input_song,input_song
,,tab_select_song,tab_select_song
,,to_cancel_addsong,to_cancel_addsong