Category,Action,Apply Done,Test Done
verification_mobile,,,
,to_mobile_country,,
,input_mobile,,
,to_terms,,
,to_verification_code,,
,tab_mobile_error,,
,tab_signup,,
,tab_mobile_cancel,,
verification_mobile_country,,,
,select_country,,
,cancel_select_country,,
verification_code,,,
,input_code,,
,tab_deletecode,,
,tab_retry,,
,to_campaign_list,,
,tab_code_error,,
page_error,,,
,tab_retry,,
,to_campaign_tab,,
,to_maps_tab,,
,to_profile_tab,,
campaignlist_nomake,,,
,tab_startmaking,,
,to_campaign_tab,,
,to_maps_tab,,
,to_myprofile_tab,,
campaignlist,,,
,to_right,,
,to_left,,
,to_campaign,,
,to_campaign_tab,,
,to_maps_tab,,
,to_profile_tab,,
campaignlist_campaign_transitioned,,,
,to_campaignlist,,
,tab_checkitout,,
campaignlist_campaign_default,,,
,to_campaignlist,,
,to_leaderboard,,
campaign_leaderboard_top10,,,
,to_campaign,,
,to_userprofile,,
campaign_leaderboard_notop10,,,
,to_campaign,,
,to_otherprofile,,
myprofile,,,
,to_settings,,
,to_campaign_tab,,
,to_maps_tab,,
,to_profile_tab,,
myprofile_settings,,,
,toggle_notification_on,,
,toggle_notification_off,,
,to_help_web,,
,to_copyright_web,,
,to_privacy_web,,
,to_terms_web,,
,to_opensource,,
,tab_clearcache,,
,tab_logout,,
myprofile_editprofile,,,
,tab_thumbnail,,
,to_changephoto,,
,to_takephoto,,
,to_username,,
,to_status,,
,to_city,,
,to_artists,,
,to_songs,,
,auth_denied_storage,,
,auth_deinged_photo,,
myprofile_editprofile_username,,,
,input_username,,
,to_save_username,,
,tab_cancel_btn,,
,to_cancel_username,,
,tab_stay_username,,
,tab_hide_error,,
myprofile_editprofile_gallery,,,
myprofile_editprofile_status,,,
,input_status,,
,to_save_status,,
,tab_cancel_btn,,
,to_cancel_status,,
,tab_stay_status,,
,tab_hide_error,,
myprofile_editprofile_city,,,
,input_status,,
,to_save_status,,
,tab_cancel_btn,,
,to_cancel_status,,
,tab_stay_status,,
,tab_hide_error,,
myprofile_editprofile_myartists,,,
,to_addartist,,
,to_save_artist,,
,tab_cancel,,
editprofile_myartists_addartist,,,
,input_artist,,
,tab_select_artist,,
,to_cancel_addartist,,
myprofile_editprofile_mysongs,,,
,to_addsong,,
,to_save_song,,
,tab_cancel,,
editprofile_myartists_addsong,,,
,input_song,,
,tab_select_song,,
,to_cancel_addsong,,